Place,Street,Postal Code
Ijomu,Ayetoro St.,340211
Ijomu,Edo Lodge,340211
Ijomu,Fiwasaye Girls Gram School,340211
Ijomu,Ijomu St.,340211
Ijomu,James Adegoke St.,340211
Ijomu,Min of Agric & Nat Resources,340211
Ijomu,Obanla St.,340211
Ijomu,Oke Emeso St.,340211
Ijomu,Olunatedo,340211
Ijomu,Oluyide St.,340211
Ijomu,Princess Hotel,340211
Ijomu,St. David’s Pry. School,340211
Ijomu,St. Mary Children School,340211
Ijomu,Vining Christian Centre,340211
Ijapo Estate,Ado St.,340212
Ijapo Estate,AP Filling Station,340212
Ijapo Estate,Ewti St.,340212
Ijapo Estate,Eyemote St.,340212
Ijapo Estate,Gbolaji St.,340212
Ijapo Estate,Henry Fajemirokun St.,340212
Ijapo Estate,Ijapo Police Station,340212
Ijapo Estate,Ijepo St.,340212
Ijapo Estate,Ikogosi St.,340212
Ijapo Estate,Ikole St.,340212
Ijapo Estate,Imade St.,340212
Ijapo Estate,James Adegoke St.,340212
Ijapo Estate,Kola Ogunmola St.,340212
Ijapo Estate,Mown St.,340212
Ijapo Estate,Ojumu St.,340212
Ijapo Estate,Oke Ijebu,340212
Ijapo Estate,Omuo St.,340212
Ijapo Estate,Ondo Ave.,340212
Ijapo Estate,Otun Cr.,340212
Ijapo Estate,Owo Ave.,340212
Ijapo Estate,State Housing Corporation,340212
Ijapo Estate,Victory Garden,340212
School Of Agric,Fabilola Estate,340213
School Of Agric,Min of Justice,340213
School Of Agric,Rural Education Centre,340213
School Of Agric,Texaco Petrol Station,340213
Oba Ile,C/S Rd.,340214
Oba Ile,Ejioba High Sch.,340214
Oba Ile,Mission Rd.,340214
Oba Ile,Oba-Ile Housing,340214
Oba Ile,OSRC.,340214
Obas Palace,Afunbi Owo Rd.,340221
Obas Palace,Alakunre St.,340221
Obas Palace,Amudipe St.,340221
Obas Palace,Arakale St.,340221
Obas Palace,Ayegunle St.,340221
Obas Palace,Edungba St.,340221
Obas Palace,Egbedi St.,340221
Obas Palace,Epekesan St.,340221
Obas Palace,Eruoba St. A & B,340221
Obas Palace,Idiagba St.,340221
Obas Palace,Igan St.,340221
Obas Palace,Igbede St.,340221
Obas Palace,Min of Justice Igbede St.,340221
Obas Palace,Igboyegun St.,340221
Obas Palace,Ijala St.,340221
Obas Palace,Ijofi St.,340221
Obas Palace,Iromu St.,340221
Obas Palace,Kemo St.,340221
Obas Palace,Oba Osupa St.,340221
Obas Palace,Oeji’s Palace,340221
Obas Palace,Okelisa St.,340221
Obas Palace,Orisa St.,340221
High Court,Akure Shopping Compx.,340222
High Court,Governors House Rd.,340222
High Court,High Court,340222
High Court,Kudirat Abiola Shopping Compx.,340222
High Court,NEPA Court,340222
High Court,Oke Eda St.,340222
High Court,Ondo State Water Corporation,340222
High Court,Secretariat Offices,340222
High Court,Union Bank,340222
Alagbaka,Ajasin Way,340223
Alagbaka,Akure Shopping Compx.,340223
Alagbaka,Bishops Court,340223
Alagbaka,Central Bank,340223
Alagbaka,Code of Conduct Way,340223
Alagbaka,Federal Secretariat,340223
Alagbaka,G.R.A,340223
Alagbaka,Government Press,340223
Alagbaka,House of Assembly,340223
Alagbaka,Igbatoro Rd.,340223
Alagbaka,Investment House,340223
Alagbaka,Olukayode St.,340223
Alagbaka,SDP Secretariat,340223
Alagbaka,State Secretariat,340223
Alagbaka,WAEC INEC Rd.,340223
Okearo,Ajegunle St.,340231
Okearo,Akure Musum College,340231
Okearo,Alafe St.,340231
Okearo,Alafiatayo,340231
Okearo,Ayelabola St.,340231
Okearo,Debonah Lodge,340231
Okearo,Eleye St.,340231
Okearo,Eyinke St.,340231
Okearo,Falokun St.,340231
Okearo,Gbangbalogun St.,340231
Okearo,Green Park,340231
Okearo,Igbolini St.,340231
Okearo,Ijemikin St.,340231
Okearo,Irowo St.,340231
Okearo,Iselemo St.,340231
Okearo,Iwalewa,340231
Okearo,Iwaro St.,340231
Okearo,Koro Quarters,340231
Okearo,Moferere,340231
Okearo,N.P.F Station,340231
Okearo,Odige St.,340231
Okearo,Odopetu St.,340231
Okearo,Odundun St.,340231
Okearo,Oke Apata St.,340231
Okearo,Oke Padre,340231
Okearo,Okebola St.,340231
Okearo,Osinle St.,340231
Okearo,Otutubiosnu St.,340231
Osinle Sijuade Estate,Ajowa St.,340232
Osinle Sijuade Estate,Akinola Oluyede St.,340232
Osinle Sijuade Estate,Akure Musum School,340232
Osinle Sijuade Estate,Ala Cl.,340232
Osinle Sijuade Estate,Ala Quarters,340232
Osinle Sijuade Estate,Davog,340232
Osinle Sijuade Estate,Dele Akinluyi St.,340232
Osinle Sijuade Estate,Dele Johnson St.,340232
Osinle Sijuade Estate,Ejioba Motel St.,340232
Osinle Sijuade Estate,Elewa Pantaku Layout,340232
Osinle Sijuade Estate,Fairmont Hotel,340232
Osinle Sijuade Estate,Farmers House,340232
Osinle Sijuade Estate,Ifelodun St.,340232
Osinle Sijuade Estate,Ijo Mimo,340232
Osinle Sijuade Estate,Ijoka Rd.,340232
Osinle Sijuade Estate,Ijomimo High School,340232
Osinle Sijuade Estate,Investment House Oda Rd.,340232
Osinle Sijuade Estate,Kemobola St.,340232
Osinle Sijuade Estate,Majeobaje Giwa St.,340232
Osinle Sijuade Estate,Mercy St.,340232
Osinle Sijuade Estate,N.R.C. Secretariat,340232
Osinle Sijuade Estate,N.U.T,340232
Osinle Sijuade Estate,New Hospital Rd.,340232
Osinle Sijuade Estate,New Sijuade St.,340232
Osinle Sijuade Estate,Odopo Layout,340232
Osinle Sijuade Estate,Odopo Rd.,340232
Osinle Sijuade Estate,Old Sijuade St.,340232
Osinle Sijuade Estate,Olisa Layout,340232
Osinle Sijuade Estate,Olu Ibukun St.,340232
Osinle Sijuade Estate,Oluwatuyi Rd.,340232
Osinle Sijuade Estate,Onoduni St.,340232
Osinle Sijuade Estate,Owena Motels,340232
Osinle Sijuade Estate,Owobamigbe St.,340232
Osinle Sijuade Estate,Power Line,340232
Osinle Sijuade Estate,Psychiatric Hospital,340232
Osinle Sijuade Estate,Rainbow Hotel,340232
Osinle Sijuade Estate,School of Health Technology,340232
Osinle Sijuade Estate,School of M/Denifery,340232
Osinle Sijuade Estate,Shitu St.,340232
Osinle Sijuade Estate,Sijnade Rd.,340232
Osinle Sijuade Estate,Sijuade Housing Estate,340232
Osinle Sijuade Estate,St. Luke’s Ang. Church,340232
Osinle Sijuade Estate,Surulere St.,340232
Osinle Sijuade Estate,Temidire St.,340232
Osinle Sijuade Estate,Trade Fair Complex,340232
Oke Aro Danjuma,Abiodun St.,340241
Oke Aro Danjuma,Adebobajo St.,340241
Oke Aro Danjuma,Adebowale A & B St.,340241
Oke Aro Danjuma,Ajebamidele St.,340241
Oke Aro Danjuma,Ajipowo Layout School,340241
Oke Aro Danjuma,Akupe Commercial College,340241
Oke Aro Danjuma,Aladetoyinbo St.,340241
Oke Aro Danjuma,Aratusin Layout,340241
Oke Aro Danjuma,Arisoyin Qtrs.,340241
Oke Aro Danjuma,Army,340241
Oke Aro Danjuma,Army Children School,340241
Oke Aro Danjuma,Awoyokun St.,340241
Oke Aro Danjuma,Ayobami St.,340241
Oke Aro Danjuma,Binkin St.,340241
Oke Aro Danjuma,C.A.C Ada Memorial,340241
Oke Aro Danjuma,Ereketa St.,340241
Oke Aro Danjuma,Eru Oba Titun,340241
Oke Aro Danjuma,Fanimokun St.,340241
Oke Aro Danjuma,Folahan Aladeniyi St.,340241
Oke Aro Danjuma,Gbajumo St.,340241
Oke Aro Danjuma,Hotel Honey Moon,340241
Oke Aro Danjuma,Idi Iroko St.,340241
Oke Aro Danjuma,Ifelere St.,340241
Oke Aro Danjuma,Ifelodun St.,340241
Oke Aro Danjuma,Ilupeju St.,340241
Oke Aro Danjuma,Isafiri Family Layout,340241
Oke Aro Danjuma,Jeje St.,340241
Oke Aro Danjuma,Kolanole St.,340241
Oke Aro Danjuma,M.A.N.R Poultry Farm Area,340241
Oke Aro Danjuma,Min of Agric & Natural Resources,340241
Oke Aro Danjuma,Odi Olowo St.,340241
Oke Aro Danjuma,Odole St.,340241
Oke Aro Danjuma,Odundun Rd.,340241
Oke Aro Danjuma,Oke Alafia,340241
Oke Aro Danjuma,Olukayo Sawmill,340241
Oke Aro Danjuma,Oruntan St.,340241
Oke Aro Danjuma,Osabiyi Layout,340241
Oke Aro Danjuma,School Ln.,340241
Oke Aro Danjuma,Surulere St.,340241
Oke Aro Danjuma,Tutugbua Layout,340241
Gbadare Ondo Bye Pass,Adinlewa St.,340251
Gbadare Ondo Bye Pass,Afanbiowo St.,340251
Gbadare Ondo Bye Pass,Ajebanidele,340251
Gbadare Ondo Bye Pass,Albert Lane Ln.,340251
Gbadare Ondo Bye Pass,Ayetutu St.,340251
Gbadare Ondo Bye Pass,Bishop House,340251
Gbadare Ondo Bye Pass,C.A.C Arammal Sch. Rd,340251
Gbadare Ondo Bye Pass,Fagbamigbe,340251
Gbadare Ondo Bye Pass,Gbogi,340251
Gbadare Ondo Bye Pass,Igbeyinadun St.,340251
Gbadare Ondo Bye Pass,Korede St.,340251
Gbadare Ondo Bye Pass,Odofin St.,340251
Gbadare Ondo Bye Pass,Ojijigogun,340251
Gbadare Ondo Bye Pass,Ondo Bye Pass,340251
Gbadare Ondo Bye Pass,St. Lewis Girls Gram. Sch.,340251
Gbadare Ondo Bye Pass,Survey Office,340251
Fanini Estate FUT,Agunloye,340252
Fanini Estate FUT,Akad Filling Station,340252
Fanini Estate FUT,Akinsola Sawmill,340252
Fanini Estate FUT,Akupe Local Govt. Office,340252
Fanini Estate FUT,Alaba Layout,340252
Fanini Estate FUT,Apatapiti Layout,340252
Fanini Estate FUT,Aralepo,340252
Fanini Estate FUT,Ayo Nio St.,340252
Fanini Estate FUT,Benaof Beverages Depot,340252
Fanini Estate FUT,Caeco Furniture,340252
Fanini Estate FUT,Champion,340252
Fanini Estate FUT,Coca-cola,340252
Fanini Estate FUT,Eddoye St.,340252
Fanini Estate FUT,Fanibi Est.,340252
Fanini Estate FUT,Ijalade St.,340252
Fanini Estate FUT,Lydia Rd.,340252
Fanini Estate FUT,Mojere Market,340252
Fanini Estate FUT,Ogundele/Ogunlusi Layout,340252
Fanini Estate FUT,Oguntoye Layout,340252
Fanini Estate FUT,Oke Eresu Layout,340252
Fanini Estate FUT,Ondo Rd.,340252
Fanini Estate FUT,Power UNE,340252
Fanini Estate FUT,State Industrial Layout,340252
Fanini Estate FUT,Titilayo Lodge,340252
Fanini Estate FUT,United C.A.C. Gram. Sch.,340252
NIPOST Headquarters,Arikawe St.,340271
NIPOST Headquarters,Arowosafe Layout,340271
NIPOST Headquarters,Banire,340271
NIPOST Headquarters,Dandare Workshop Area,340271
NIPOST Headquarters,Dominic Rd.,340271
NIPOST Headquarters,Elecfosan Famotua Layout,340271
NIPOST Headquarters,Faloye Av.,340271
NIPOST Headquarters,Fayanju St.,340271
NIPOST Headquarters,Femi Alewi St.,340271
NIPOST Headquarters,Idea Paint Nig. Ltd.,340271
NIPOST Headquarters,Lafe Inn,340271
NIPOST Headquarters,Leo Rd.,340271
NIPOST Headquarters,Martins St.,340271
NIPOST Headquarters,Min. of Works & Housing,340271
NIPOST Headquarters,NEPA Quarters,340271
NIPOST Headquarters,NIPOST Head Quarters,340271
NIPOST Headquarters,Oba Adesida Layout,340271
NIPOST Headquarters,Obadare,340271
NIPOST Headquarters,Okeitura,340271
NIPOST Headquarters,Okuta Elerinwa,340271
NIPOST Headquarters,Saint Peters,340271
NIPOST Headquarters,Town Planning Authority,340271
NIPOST Headquarters,Yemi Ajibade,340271
Owode,Adeniyan St.,340281
Owode,Adeola St.,340281
Owode,Afere St.,340281
Owode,Ajayi St.,340281
Owode,Ajerom/ St.,340281
Owode,Ajisola St.,340281
Owode,Akinniranye Av.,340281
Owode,Alco St.,340281
Owode,Alhaja Ln.,340281
Owode,Eringbo A & C,340281
Owode,Esho St.,340281
Owode,Fabusny St.,340281
Owode,Fakunle St.,340281
Owode,Glorunimbe St.,340281
Owode,Glowomeye St.,340281
Owode,Gpopoala A & C,340281
Owode,Ibera St.,340281
Owode,Idera St.,340281
Owode,Iloro,340281
Owode,Imaagun A & B,340281
Owode,James Badejo St.,340281
Owode,Lawman Academy,340281
Owode,Makanjnola St.,340281
Owode,Meshe St.,340281
Owode,Odo Ijoka/Ehin Ala,340281
Owode,Onode I & II,340281
Owode,Prince Adeniyi St.,340281
Owode,Stadium Rd.,340281
Owode,Tuyi St.,340281
Araromi,Abibirin St.,340282
Araromi,Adegbola Mem. Sch.,340282
Araromi,Ademuagun St.,340282
Araromi,Ajaye Oba St.,340282
Araromi,Ajaye Quarters,340282
Araromi,Akinsncu St.,340282
Araromi,Akinwale St.,340282
Araromi,Akosile St.,340282
Araromi,Akupe High Sch. Rd.,340282
Araromi,Aliu St.,340282
Araromi,Araromi St.,340282
Araromi,Ayetoro St.,340282
Araromi,Ayeyem St.,340282
Araromi,Bishop Hughas High Sch.,340282
Araromi,Dare Ajayi St.,340282
Araromi,Dayo-Idowu St.,340282
Araromi,I. K. Ojo St.,340282
Araromi,Ifelodun St.,340282
Araromi,Igbehinadun St.,340282
Araromi,Inaro A & B St.,340282
Araromi,Irepodan Abcde,340282
Araromi,Isolo St.,340282
Araromi,Mayegun St.,340282
Araromi,Odo Ikoyi St.,340282
Araromi,Oja-Oshodi St.,340282
Araromi,Oke Anu St.,340282
Araromi,Oke-Ibunun St.,340282
Araromi,Oke-Ijebu Quarters,340282
Araromi,Ola-Olawa St.,340282
Araromi,Olorunsogo St.,340282
Araromi,Oyejola St.,340282
Araromi,Plaza Motel,340282
Araromi,Temibire B St.,340282
Araromi,Temidire St.,340282
Araromi,Tinubu St.,340282
Araromi,Uncle Olubo St.,340282
Ijare Irese Rd.,Ijare Rd.,340283
Ijare Irese Rd.,Irese Road,340283
Ijare Irese Rd.,Orita Obele,340283
Ijare Irese Rd.,OSRC,340283
Shagari Village,Humaj,340284
Shagari Village,Presidential Av. Av.,340284
Shagari Village,Primary School Rd. Rd.,340284
Shagari Village,Tawani Rd. Rd.,340284
